                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0297,                0.75607,                 1.3422,                0.97406,                0.91358,                 0.9855,                0.77789,                 0.7766,                0.54574,                 1.1468,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1085,                0.84426,                 1.3988,                0.98447,                0.98765,                0.99244,                0.77046,                0.86234,                0.51256,                 1.1857,               0.001769,               0.001769,               0.001769
                     37,                 1.0623,                0.81332,                 1.3718,                0.96126,                      1,                0.99162,                0.75836,                0.81684,                0.53529,                 1.1739,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.0511,                0.81927,                 1.3367,                0.96822,                0.97531,                0.98233,                0.75728,                0.86589,                0.56837,                 1.1964,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.0485,                0.86103,                 1.3597,                0.95269,                0.99447,                0.99168,                 0.7792,                0.81879,                 0.5525,                 1.1637,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.0709,                0.86674,                 1.3636,                0.93783,                0.98765,                0.98645,                0.77693,                0.77626,                0.55924,                 1.1548,              0.0017426,              0.0017426,              0.0017426
                     41,                0.97885,                0.74525,                 1.2941,                0.96669,                0.95062,                0.98034,                0.76484,                0.85271,                0.52452,                 1.1912,               0.001736,               0.001736,               0.001736
                     42,                 1.0162,                0.80566,                 1.3401,                0.94004,                0.97531,                0.97792,                0.77429,                0.83014,                0.53231,                 1.1848,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0549,                0.79824,                 1.3694,                 0.9748,                0.95526,                0.98167,                0.79902,                0.74618,                0.49859,                  1.117,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.0315,                0.75469,                 1.3446,                0.94046,                0.97531,                0.97861,                0.79183,                 0.7615,                0.49514,                 1.1446,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.0171,                0.74689,                 1.3357,                0.92898,                0.96901,                0.98121,                0.77416,                 0.8039,                  0.551,                 1.1608,              0.0017096,              0.0017096,              0.0017096
                     46,                0.98245,                 0.7219,                 1.3097,                 0.9637,                0.98342,                0.98012,                0.76875,                0.84065,                0.47947,                 1.1918,               0.001703,               0.001703,               0.001703
                     47,                 1.0333,                0.80207,                 1.3319,                0.95047,                0.94763,                0.97548,                0.77279,                0.83501,                 0.5069,                 1.1888,              0.0016964,              0.0016964,              0.0016964
                     48,                0.99212,                0.74488,                 1.3089,                0.96601,                0.97531,                0.98116,                0.79867,                0.74305,                0.43925,                 1.1194,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.0372,                0.75806,                 1.3256,                0.98746,                0.97186,                0.99253,                0.78216,                0.78306,                 0.4681,                 1.1304,              0.0016832,              0.0016832,              0.0016832
                     50,                0.99607,                0.78172,                 1.2981,                0.93886,                0.98765,                0.98835,                0.78492,                0.80851,                0.48754,                 1.1629,              0.0016766,              0.0016766,              0.0016766
                     51,                0.98724,                0.73489,                 1.2946,                0.97078,                      1,                0.99155,                0.76867,                0.85213,                0.49243,                 1.1981,                0.00167,                0.00167,                0.00167
                     52,                0.98778,                 0.7447,                 1.3296,                0.94037,                      1,                0.99269,                0.77891,                0.82566,                0.47994,                 1.1648,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0081,                0.74947,                 1.3135,                 0.9631,                0.96666,                0.98305,                0.78688,                0.75913,                0.50031,                 1.1463,              0.0016568,              0.0016568,              0.0016568
                     54,                0.98145,                 0.7256,                 1.3038,                0.99282,                0.97531,                0.99406,                0.78206,                0.75384,                0.48084,                 1.1328,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0014,                0.71648,                 1.3141,                0.96296,                0.96288,                0.97872,                0.77692,                0.77171,                0.46894,                 1.1637,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0128,                0.76382,                 1.3259,                0.95166,                 0.9723,                0.97785,                0.75806,                0.79153,                0.48923,                 1.1578,               0.001637,               0.001637,               0.001637
                     57,                0.94313,                0.71621,                 1.2908,                0.98354,                0.98765,                0.99295,                0.77483,                0.80374,                0.47617,                 1.1722,              0.0016304,              0.0016304,              0.0016304
                     58,                0.94629,                0.68137,                 1.2751,                0.94966,                0.98765,                 0.9895,                0.77563,                0.80197,                0.49899,                 1.1661,              0.0016238,              0.0016238,              0.0016238
                     59,                0.99356,                0.70893,                 1.3172,                0.95153,                0.96948,                0.99059,                0.76194,                0.81675,                0.46227,                 1.1856,              0.0016172,              0.0016172,              0.0016172
                     60,                0.90261,                0.64517,                 1.2453,                0.98764,                0.98657,                0.99195,                0.77009,                0.81676,                 0.4614,                 1.1943,              0.0016106,              0.0016106,              0.0016106
                     61,                0.95142,                0.69302,                 1.2915,                0.97448,                0.94296,                0.99079,                 0.8142,                0.73162,                0.47659,                 1.0931,               0.001604,               0.001604,               0.001604
                     62,                0.94146,                0.66699,                  1.263,                0.94971,                0.97531,                0.98558,                0.78953,                0.77194,                0.46377,                 1.1243,              0.0015974,              0.0015974,              0.0015974
                     63,                0.98042,                0.70673,                 1.2991,                0.92776,                0.98765,                0.98561,                0.78358,                0.78465,                0.48041,                 1.1444,              0.0015908,              0.0015908,              0.0015908
                     64,                0.98627,                0.71027,                 1.3324,                0.93963,                0.96077,                0.96911,                0.78264,                0.78666,                0.47431,                 1.1784,              0.0015842,              0.0015842,              0.0015842
                     65,                0.94705,                0.66863,                 1.2889,                0.95768,                0.95062,                0.97882,                 0.7875,                 0.7826,                0.50287,                 1.1714,              0.0015776,              0.0015776,              0.0015776
                     66,                0.94279,                0.68088,                 1.2895,                0.96157,                0.96296,                0.99169,                0.81647,                0.76258,                0.45822,                 1.1476,               0.001571,               0.001571,               0.001571
                     67,                0.93569,                0.66301,                 1.2848,                0.94047,                0.98765,                0.99156,                0.80226,                0.72533,                0.44292,                 1.1104,              0.0015644,              0.0015644,              0.0015644
                     68,                0.94967,                0.68714,                 1.2916,                0.95176,                0.97531,                0.98983,                0.77134,                0.79213,                0.46955,                 1.1656,              0.0015578,              0.0015578,              0.0015578
                     69,                0.92446,                 0.6941,                 1.2854,                0.97493,                0.96296,                0.98371,                0.77418,                0.81797,                0.44617,                 1.1807,              0.0015512,              0.0015512,              0.0015512
                     70,                0.97351,                0.70715,                 1.3042,                0.97932,                0.96296,                0.98489,                0.78035,                0.76185,                0.42469,                 1.1624,              0.0015446,              0.0015446,              0.0015446
                     71,                0.95692,                0.66398,                 1.2913,                      1,                0.98648,                 0.9939,                0.76706,                0.83772,                0.44804,                 1.1962,               0.001538,               0.001538,               0.001538
                     72,                0.93408,                0.65856,                 1.2737,                0.97779,                0.97531,                 0.9797,                 0.7888,                 0.7838,                0.42876,                 1.1563,              0.0015314,              0.0015314,              0.0015314
                     73,                0.92759,                0.66226,                 1.2722,                0.98628,                0.98765,                0.99228,                0.78713,                 0.7629,                0.42162,                 1.1565,              0.0015248,              0.0015248,              0.0015248
                     74,                0.90068,                0.64807,                 1.2625,                0.98574,                0.95062,                0.98318,                0.78537,                0.77369,                0.42343,                 1.1448,              0.0015182,              0.0015182,              0.0015182
                     75,                0.95764,                 0.7048,                 1.2827,                0.96314,                0.95062,                0.97909,                0.79326,                0.72755,                0.44756,                 1.1149,              0.0015116,              0.0015116,              0.0015116
                     76,                0.88046,                0.65851,                 1.2223,                0.96371,                0.98358,                0.99285,                0.76215,                0.84048,                0.46091,                 1.1796,               0.001505,               0.001505,               0.001505
                     77,                0.94608,                0.67333,                  1.281,                0.97028,                0.96296,                0.98156,                0.79203,                 0.7179,                 0.4361,                  1.113,              0.0014984,              0.0014984,              0.0014984
                     78,                0.93245,                 0.6738,                 1.2757,                0.98477,                0.98765,                0.99427,                0.77797,                 0.7831,                0.44406,                 1.1418,              0.0014918,              0.0014918,              0.0014918
                     79,                0.88306,                0.64539,                 1.2322,                0.96328,                0.97161,                0.97762,                0.78727,                0.76129,                0.44233,                 1.1293,              0.0014852,              0.0014852,              0.0014852
                     80,                0.88898,                0.63305,                 1.2419,                      1,                0.98699,                0.99442,                0.79486,                0.74347,                0.40515,                 1.1309,              0.0014786,              0.0014786,              0.0014786
                     81,                0.94525,                0.64719,                 1.2645,                0.98764,                0.98626,                0.99428,                0.79116,                0.72819,                0.40701,                 1.1245,               0.001472,               0.001472,               0.001472
                     82,                0.85579,                0.59855,                 1.2228,                0.97386,                0.96296,                0.98345,                0.80923,                0.75056,                0.41788,                 1.1454,              0.0014654,              0.0014654,              0.0014654
