                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0984,                 2.5681,                 1.3471,                0.00326,                      1,                 0.9497,                 0.7604,                0.57875,                 2.4824,                 1.0218,                  0.002,                  0.002,                  0.002
                      2,                0.94649,                 1.6366,                 1.2117,                0.89222,                 0.9198,                0.95957,                0.73541,                0.73937,                 1.6507,                 1.1378,              0.0040986,              0.0040986,              0.0040986
                      3,                0.97864,                 1.1816,                  1.182,                      1,                0.74869,                0.96555,                0.73262,                  0.803,                 1.9258,                 1.1619,              0.0061959,              0.0061959,              0.0061959
                      4,                0.96822,                 1.1413,                 1.1612,                0.91855,                0.83543,                0.90845,                0.62506,                0.97604,                 1.2831,                 1.2825,              0.0082918,              0.0082918,              0.0082918
                      5,                 1.0421,                 1.1489,                 1.2063,                0.92616,                0.92909,                0.95383,                0.70336,                0.90115,                 1.2308,                 1.2203,              0.0099868,              0.0099868,              0.0099868
                      6,                 1.0459,                 1.1237,                 1.2456,                0.88823,                  0.883,                0.93315,                 0.6564,                 1.0195,                 1.1357,                 1.2597,              0.0099835,              0.0099835,              0.0099835
                      7,                   1.07,                 1.1067,                 1.2466,                0.53069,                0.59259,                0.53206,                0.29971,                 1.2925,                 1.6807,                 1.5589,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.1209,                 1.1471,                 1.2714,                  0.822,                0.68418,                0.80975,                0.45648,                  1.262,                 1.4224,                 1.5664,              0.0099769,              0.0099769,              0.0099769
                      9,                  1.097,                 1.0468,                 1.2504,                0.86317,                0.88889,                0.93467,                 0.6399,                 1.0591,                 1.1255,                 1.3122,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.1057,                 1.0176,                 1.2785,                0.88903,                 0.8642,                0.91839,                0.61667,                 1.1595,                 1.1647,                 1.4399,              0.0099703,              0.0099703,              0.0099703
                     11,                 1.1029,                0.99643,                 1.2834,                0.89334,                 0.7284,                0.85533,                0.53639,                 1.2951,                 1.2274,                 1.5826,               0.009967,               0.009967,               0.009967
