                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0456,                 1.7163,                 1.2676,                0.85124,                0.81481,                0.92899,                0.70857,                0.84899,                 1.5321,                 1.1835,             0.00065854,             0.00065854,             0.00065854
                      2,                 1.1667,                 1.3828,                  1.331,                0.80657,                 0.7284,                0.86511,                0.54476,                 1.0214,                 1.4093,                 1.2468,               0.001299,               0.001299,               0.001299
                      3,                 1.2391,                   1.36,                 1.3733,                0.77271,                0.85185,                0.87574,                0.53829,                 1.2168,                 1.4457,                 1.3761,               0.001913,               0.001913,               0.001913
                      4,                 1.3013,                 1.3935,                 1.3969,                0.85607,                0.77778,                0.88043,                0.54425,                 1.1931,                 1.2698,                  1.416,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2536,                 1.3143,                 1.3728,                0.96059,                 0.8642,                0.96553,                0.64984,                 1.0317,                 1.0924,                 1.2679,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2065,                 1.2158,                  1.337,                 0.9276,                0.96296,                0.95969,                0.69905,                0.98445,                0.86685,                 1.2437,               0.001802,               0.001802,               0.001802
                      7,                 1.2602,                 1.2089,                 1.3891,                0.95391,                0.88889,                0.96827,                0.67976,                 1.0161,                0.94499,                 1.2617,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2229,                 1.0959,                 1.3414,                0.89078,                0.90621,                0.93236,                0.67378,                0.95714,                 0.8617,                 1.2086,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1516,                 1.0308,                  1.305,                0.88375,                0.93854,                0.94762,                0.67635,                0.92185,                0.88907,                 1.1988,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1832,                 1.0516,                 1.3254,                0.97662,                0.92593,                 0.9789,                 0.7294,                0.89351,                0.72649,                 1.1573,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1138,                 1.0127,                 1.2918,                0.96293,                0.96211,                0.97483,                 0.7201,                0.93009,                0.67475,                 1.1973,               0.001604,               0.001604,               0.001604
                     12,                 1.1359,                0.95864,                 1.2865,                0.92987,                0.98218,                0.98551,                0.77567,                0.78998,                0.67038,                 1.0915,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1009,                0.97568,                 1.2667,                0.91378,                0.98765,                0.98661,                0.74643,                0.86519,                0.63002,                 1.1388,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0873,                0.94059,                 1.2721,                0.94473,                0.96296,                 0.9835,                0.75146,                0.84114,                0.59683,                  1.158,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1005,                0.95297,                 1.2548,                0.92923,                0.97262,                0.98617,                0.77284,                0.79458,                0.57077,                 1.1077,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0067,                0.80977,                 1.2141,                 0.9398,                0.97531,                0.98428,                0.76349,                0.83292,                0.56524,                 1.1092,               0.001406,               0.001406,               0.001406
                     17,                 1.0651,                0.81455,                 1.2621,                0.99281,                0.95062,                 0.9917,                0.77704,                0.79666,                 0.5443,                  1.093,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0652,                  0.838,                  1.255,                0.96014,                0.95062,                0.98503,                 0.7545,                0.88171,                0.55412,                 1.1358,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0634,                0.82861,                 1.2403,                0.96534,                0.98765,                0.99199,                0.74682,                0.79332,                0.56044,                 1.1192,              0.0012872,              0.0012872,              0.0012872
                     20,                0.99657,                 0.7779,                 1.1984,                0.96026,                0.97531,                0.99229,                0.75622,                0.82132,                0.51948,                 1.1427,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0098,                0.77885,                 1.2062,                0.98777,                0.99747,                0.99415,                 0.7849,                0.78692,                0.48334,                 1.1022,               0.001208,               0.001208,               0.001208
                     22,                  1.011,                0.76218,                 1.2228,                0.98762,                0.98512,                0.99271,                0.77983,                0.79794,                0.49515,                 1.1081,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0581,                0.82399,                  1.254,                0.94114,                      1,                0.99055,                0.78282,                0.76448,                  0.485,                 1.0836,              0.0011288,              0.0011288,              0.0011288
                     24,                0.94438,                0.74336,                 1.1696,                0.93581,                0.96296,                0.96411,                0.76798,                0.75457,                0.49023,                 1.0982,              0.0010892,              0.0010892,              0.0010892
                     25,                0.97113,                0.77895,                 1.1964,                0.96341,                0.97527,                0.99127,                0.79307,                0.73155,                0.47182,                 1.0758,              0.0010496,              0.0010496,              0.0010496
                     26,                0.98227,                0.73136,                  1.211,                0.98763,                0.98597,                0.99345,                0.78009,                0.77704,                 0.4435,                 1.0646,                0.00101,                0.00101,                0.00101
                     27,                0.94837,                0.70957,                 1.1717,                0.97497,                0.98765,                0.99242,                0.81515,                 0.6964,                0.42297,                 1.0247,              0.0009704,              0.0009704,              0.0009704
                     28,                0.95012,                0.71866,                 1.2041,                0.97588,                0.99915,                0.98543,                0.79729,                0.69429,                0.40309,                 1.0514,              0.0009308,              0.0009308,              0.0009308
                     29,                0.99276,                0.73774,                 1.2211,                0.96206,                0.97531,                0.98956,                0.75438,                0.77216,                0.45474,                  1.083,              0.0008912,              0.0008912,              0.0008912
                     30,                0.89019,                0.67104,                 1.1698,                0.97556,                0.98563,                0.98277,                0.78818,                0.75298,                0.43861,                 1.0966,              0.0008516,              0.0008516,              0.0008516
                     31,                0.88429,                0.68393,                 1.1497,                0.97423,                0.98765,                0.99403,                0.81007,                0.68891,                0.42741,                 1.0382,               0.000812,               0.000812,               0.000812
                     32,                0.90398,                0.67985,                 1.1514,                0.98779,                0.99895,                 0.9939,                0.79135,                0.68929,                0.40673,                 1.0365,              0.0007724,              0.0007724,              0.0007724
                     33,                0.90805,                0.64252,                  1.155,                0.98602,                0.97531,                0.99392,                0.78287,                0.72466,                0.42635,                 1.0482,              0.0007328,              0.0007328,              0.0007328
                     34,                0.88745,                0.62784,                 1.1506,                0.97437,                0.93873,                0.99044,                0.79408,                0.71064,                0.42465,                 1.0457,              0.0006932,              0.0006932,              0.0006932
                     35,                0.84382,                0.60557,                 1.1244,                0.98162,                0.96296,                0.99223,                0.81384,                0.69612,                0.40293,                 1.0399,              0.0006536,              0.0006536,              0.0006536
                     36,                0.92977,                0.67776,                 1.1857,                0.98237,                0.97531,                0.99301,                0.80903,                0.68323,                0.43114,                 1.0428,               0.000614,               0.000614,               0.000614
