                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79757,                0.70893,                 1.0603,                0.95543,                0.95918,                0.95965,                 0.7426,                0.86638,                0.61121,                 1.1213,              0.0006536,              0.0006536,              0.0006536
                     36,                 0.8443,                0.68767,                 1.1094,                0.97649,                      1,                 0.9922,                0.76271,                0.87701,                0.54747,                 1.1549,               0.000614,               0.000614,               0.000614
                     37,                0.87253,                0.70207,                 1.1312,                0.97883,                      1,                  0.993,                0.75841,                0.84692,                 0.5447,                 1.1545,              0.0005744,              0.0005744,              0.0005744
                     38,                0.81037,                 0.6992,                 1.1008,                0.95768,                0.97959,                0.97585,                0.74625,                0.84027,                0.55346,                 1.1296,              0.0005348,              0.0005348,              0.0005348
                     39,                0.85069,                0.69562,                 1.1215,                0.97818,                      1,                 0.9938,                0.75403,                0.89168,                0.52483,                  1.145,              0.0004952,              0.0004952,              0.0004952
                     40,                0.88343,                0.66689,                 1.1216,                0.99649,                      1,                  0.995,                0.76696,                0.88875,                0.50956,                  1.132,              0.0004556,              0.0004556,              0.0004556
                     41,                0.63823,                 0.5836,                 1.0099,                0.99495,                      1,                  0.995,                 0.7581,                0.86243,                0.56509,                 1.0872,               0.000416,               0.000416,               0.000416
                     42,                0.62417,                   0.56,                0.98992,                0.99447,                      1,                  0.995,                0.76112,                0.85445,                0.58071,                 1.0898,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60634,                0.55103,                0.96137,                      1,                0.99389,                  0.995,                0.77471,                 0.8053,                0.59542,                 1.0776,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58899,                 0.5093,                0.98858,                0.97441,                0.97959,                0.98178,                0.78216,                0.77739,                0.58441,                 1.0715,              0.0002972,              0.0002972,              0.0002972
                     45,                0.61508,                0.50576,                0.97789,                0.97957,                0.97864,                0.97942,                0.77172,                0.77784,                0.57131,                 1.0789,              0.0002576,              0.0002576,              0.0002576
                     46,                0.60907,                0.49171,                 1.0003,                0.99963,                      1,                  0.995,                0.77783,                0.77784,                0.56122,                 1.0797,               0.000218,               0.000218,               0.000218
                     47,                0.59812,                 0.4977,                0.99414,                0.99668,                      1,                  0.995,                0.79106,                0.76105,                0.52717,                 1.0835,              0.0001784,              0.0001784,              0.0001784
                     48,                0.56668,                0.47023,                0.97304,                0.98459,                      1,                  0.995,                0.79643,                0.73952,                0.52234,                 1.0682,              0.0001388,              0.0001388,              0.0001388
                     49,                0.59516,                0.51429,                0.97946,                0.97993,                      1,                  0.995,                0.79834,                0.73792,                 0.5107,                 1.0629,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.55036,                0.44883,                0.96165,                0.99799,                      1,                  0.995,                0.79637,                0.74009,                0.50863,                 1.0633,               5.96e-05,               5.96e-05,               5.96e-05
