                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1907,                 2.6444,                 1.4388,                0.00325,                      1,                0.59554,                0.42212,                0.62485,                 2.6515,                 1.0291,                 0.0005,                 0.0005,                 0.0005
                      2,                  1.121,                 2.6092,                 1.3846,                0.00325,                      1,                0.75998,                0.57872,                0.58886,                 2.6325,                 1.0114,              0.0010996,              0.0010996,              0.0010996
                      3,                 1.0363,                 2.3958,                 1.2795,                0.00325,                      1,                0.96352,                0.78148,                0.56431,                  2.552,                0.99632,              0.0016989,              0.0016989,              0.0016989
                      4,                 1.0182,                 1.7601,                 1.2611,                0.98313,                0.71954,                0.98212,                 0.7932,                0.65294,                 2.0647,                 1.0343,              0.0022977,              0.0022977,              0.0022977
                      5,                0.92139,                 1.2612,                 1.1589,                0.95751,                0.83469,                0.95505,                0.74307,                0.67096,                 2.0455,                 1.0497,              0.0028962,              0.0028962,              0.0028962
                      6,                0.92376,                 1.1053,                 1.1421,                0.96137,                0.92179,                0.96644,                0.75276,                0.74248,                 1.8999,                 1.0974,              0.0034942,              0.0034942,              0.0034942
                      7,                0.94096,                 1.0619,                  1.133,                0.97078,                0.82036,                0.96535,                0.75039,                0.71532,                 1.9635,                 1.0113,              0.0040919,              0.0040919,              0.0040919
                      8,                0.96418,                 1.0828,                 1.1557,                      1,                0.78417,                0.98249,                0.74482,                0.77462,                 1.9606,                 1.1173,              0.0046891,              0.0046891,              0.0046891
                      9,                0.95946,                0.97568,                 1.1574,                0.97934,                0.93827,                0.99101,                0.75822,                0.74839,                 1.7323,                 1.0619,               0.005286,               0.005286,               0.005286
                     10,                0.89384,                0.94771,                 1.1127,                0.97903,                0.96296,                0.98875,                 0.7785,                0.78898,                 1.6103,                 1.0896,              0.0058825,              0.0058825,              0.0058825
                     11,                0.98336,                 1.0116,                 1.1814,                 0.9737,                0.91412,                0.98278,                 0.7633,                0.78727,                 1.6158,                  1.086,              0.0064785,              0.0064785,              0.0064785
                     12,                0.93585,                 1.0084,                 1.1531,                 0.9725,                0.85185,                0.98069,                0.77598,                 0.7626,                 1.7822,                 1.1054,              0.0070742,              0.0070742,              0.0070742
                     13,                0.95435,                 1.0263,                 1.1822,                0.96227,                0.62978,                0.87995,                0.62279,                 1.0755,                 2.0548,                  1.297,              0.0076695,              0.0076695,              0.0076695
